DATE,TICKER,RET,EuropePresence,PostGDPR,Interaction
04/01/2016,ORCL,-0.017246,0,0,0
05/01/2016,ORCL,-0.003077,0,0,0
06/01/2016,ORCL,0.005051,0,0,0
07/01/2016,ORCL,-0.021776,0,0,0
08/01/2016,ORCL,-0.01113,0,0,0
11/01/2016,ORCL,0.008369,0,0,0
12/01/2016,ORCL,0.012307,0,0,0
13/01/2016,ORCL,-0.036472,0,0,0
14/01/2016,ORCL,0.020833,0,0,0
15/01/2016,ORCL,-0.019258,0,0,0
19/01/2016,ORCL,0.012603,0,0,0
20/01/2016,ORCL,-0.017656,0,0,0
21/01/2016,ORCL,0.005303,0,0,0
22/01/2016,ORCL,0.01993,0,0,0
25/01/2016,ORCL,-0.013218,0,0,0
26/01/2016,ORCL,0.025917,0,0,0
27/01/2016,ORCL,-0.009083,0,0,0
28/01/2016,ORCL,0.012031,0,0,0
29/01/2016,ORCL,0.027738,0,0,0
01/02/2016,ORCL,0.000275,0,0,0
02/02/2016,ORCL,-0.026707,0,0,0
03/02/2016,ORCL,0.009618,0,0,0
04/02/2016,ORCL,0.021295,0,0,0
05/02/2016,ORCL,-0.020576,0,0,0
08/02/2016,ORCL,-0.002521,0,0,0
09/02/2016,ORCL,-0.014883,0,0,0
10/02/2016,ORCL,0.003421,0,0,0
11/02/2016,ORCL,-0.010227,0,0,0
12/02/2016,ORCL,0.020092,0,0,0
16/02/2016,ORCL,0.004502,0,0,0
17/02/2016,ORCL,0.02605,0,0,0
18/02/2016,ORCL,0,0,0,0
19/02/2016,ORCL,0.004095,0,0,0
22/02/2016,ORCL,0.008972,0,0,0
23/02/2016,ORCL,-0.01509,0,0,0
24/02/2016,ORCL,0.002189,0,0,0
25/02/2016,ORCL,0.018018,0,0,0
26/02/2016,ORCL,-0.00885,0,0,0
29/02/2016,ORCL,-0.00487,0,0,0
01/03/2016,ORCL,0.032898,0,0,0
02/03/2016,ORCL,-0.006054,0,0,0
03/03/2016,ORCL,0.003443,0,0,0
04/03/2016,ORCL,0,0,0,0
07/03/2016,ORCL,0.012404,0,0,0
08/03/2016,ORCL,-0.005474,0,0,0
09/03/2016,ORCL,0.00865,0,0,0
10/03/2016,ORCL,-0.011175,0,0,0
11/03/2016,ORCL,0.023653,0,0,0
14/03/2016,ORCL,-0.006418,0,0,0
15/03/2016,ORCL,0.001034,0,0,0
16/03/2016,ORCL,0.038203,0,0,0
17/03/2016,ORCL,0.009697,0,0,0
18/03/2016,ORCL,0.021423,0,0,0
21/03/2016,ORCL,0.003134,0,0,0
22/03/2016,ORCL,-0.005528,0,0,0
23/03/2016,ORCL,-0.015225,0,0,0
24/03/2016,ORCL,0.005399,0,0,0
28/03/2016,ORCL,-0.008543,0,0,0
29/03/2016,ORCL,0.00197,0,0,0
30/03/2016,ORCL,0.006634,0,0,0
31/03/2016,ORCL,-0.001465,0,0,0
01/04/2016,ORCL,0.006111,0,0,0
04/04/2016,ORCL,-0.002187,0,0,0
05/04/2016,ORCL,-0.013148,0,0,0
06/04/2016,ORCL,0.005428,0,0,0
07/04/2016,ORCL,-0.019141,0,0,0
08/04/2016,ORCL,0.009757,0,0,0
11/04/2016,ORCL,0.000743,0,0,0
12/04/2016,ORCL,0.004457,0,0,0
13/04/2016,ORCL,0.022019,0,0,0
14/04/2016,ORCL,-0.001694,0,0,0
15/04/2016,ORCL,-0.005335,0,0,0
18/04/2016,ORCL,0.005363,0,0,0
19/04/2016,ORCL,-0.004365,0,0,0
20/04/2016,ORCL,0.000974,0,0,0
21/04/2016,ORCL,-0.002676,0,0,0
22/04/2016,ORCL,-0.007075,0,0,0
25/04/2016,ORCL,0.001966,0,0,0
26/04/2016,ORCL,-0.003188,0,0,0
27/04/2016,ORCL,0.00492,0,1,0
28/04/2016,ORCL,-0.012729,0,1,0
29/04/2016,ORCL,-0.011654,0,1,0
02/05/2016,ORCL,0.011039,0,1,0
03/05/2016,ORCL,-0.015385,0,1,0
04/05/2016,ORCL,-0.009829,0,1,0
05/05/2016,ORCL,-0.001527,0,1,0
06/05/2016,ORCL,0.004588,0,1,0
09/05/2016,ORCL,-0.001269,0,1,0
10/05/2016,ORCL,0.016768,0,1,0
11/05/2016,ORCL,-0.009245,0,1,0
12/05/2016,ORCL,0.004287,0,1,0
13/05/2016,ORCL,-0.005274,0,1,0
16/05/2016,ORCL,0.009089,0,1,0
